episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta
0,14,14.0,14.0,,0.010288543999195099,0.1909923553466797,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
1,34,20.0,17.0,,0.010288543999195099,0.1909923553466797,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
2,83,49.0,27.666666666666668,,0.010288543999195099,0.1909923553466797,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
3,106,23.0,26.5,,0.010288543999195099,0.1909923553466797,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
4,130,24.0,26.0,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
5,143,13.0,23.833333333333332,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
6,182,39.0,26.0,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
7,192,10.0,24.0,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
8,207,15.0,23.0,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
9,221,14.0,22.1,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
10,237,16.0,21.545454545454547,,0.010288543999195099,0.19294452667236328,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
11,253,16.0,21.083333333333332,,0.010288543999195099,0.19396257400512695,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
12,286,33.0,22.0,,0.010288543999195099,0.19396257400512695,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
13,311,25.0,22.214285714285715,,0.010288543999195099,0.19396257400512695,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
14,329,18.0,21.933333333333334,,0.010288543999195099,0.19396257400512695,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
15,352,23.0,22.0,,0.010288543999195099,0.19396257400512695,1,,"1.009999,0.990000,1.009994,0.990000",,,0.683894,0.937961
