episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,9,9.0,9.0,1.0,,0.0015583038330078125,0,"1.000000,1.000000","1.000000,1.000000,1.000000,1.000000",,
1,32,23.0,16.0,0.99,0.4654420465230942,0.1703472137451172,2,"1.197298,1.197142","1.001975,1.001852,0.998361,0.998010",,
2,48,16.0,16.0,0.9801,0.35535550117492676,0.24267339706420898,3,"1.295959,1.293668","1.002951,1.002747,0.997680,0.997021",,
3,90,42.0,22.5,0.970299,0.46026957631111143,0.6216311454772949,8,"1.781309,1.770506","1.007603,1.001408,0.993803,0.992125",,
4,111,21.0,22.2,0.96059601,0.4746995270252228,0.7528774738311768,10,"1.975952,1.959339","1.009504,0.999819,0.992051,0.990208",,
5,121,10.0,20.166666666666668,0.9509900498999999,0.4396619200706482,0.8449480533599854,11,"2.074474,2.054410","1.010467,0.998973,0.991164,0.989229",,
6,135,14.0,19.285714285714285,0.941480149401,0.4666443467140198,0.9633316993713379,12,"2.172968,2.148514","1.011426,0.998075,0.990237,0.988238",,
7,150,15.0,18.75,0.9320653479069899,0.5143854767084122,1.1475424766540527,14,"2.369752,2.335110","1.013307,0.996266,0.988389,0.986222",,
8,164,14.0,18.22222222222222,0.9227446944279201,0.46063584089279175,1.2623353004455566,15,"2.467521,2.426612","1.014284,0.995298,0.987431,0.985188",,
9,175,11.0,17.5,0.9135172474836408,0.4878499507904053,1.3758981227874756,16,"2.568104,2.513796","1.015277,0.994295,0.986440,0.984195",,
10,191,16.0,17.363636363636363,0.9043820750088044,0.4048028588294983,1.5733718872070312,18,"2.767067,2.688831","1.017344,0.992295,0.984578,0.982132",,
11,210,19.0,17.5,0.8953382542587164,0.4936344623565674,1.7053098678588867,20,"2.964845,2.863043","1.019504,0.990350,0.982630,0.980139",,
12,265,55.0,20.384615384615383,0.8863848717161292,0.5075782835483551,2.13495135307312,25,"3.432927,3.298292","1.024510,0.985416,0.977648,0.975803",,
13,318,53.0,22.714285714285715,0.8775210229989678,0.5570357084274292,2.561636447906494,30,"3.912193,3.725997","1.029920,0.980614,0.972545,0.971087",,
14,347,29.0,23.133333333333333,0.8687458127689782,0.6392684380213419,2.8282880783081055,33,"4.199596,3.973734","1.033364,0.977824,0.969514,0.968438",,
15,369,22.0,23.0625,0.8600583546412884,0.5894395411014557,3.0452308654785156,35,"4.394116,4.145605","1.035685,0.975803,0.967288,0.966614",,
16,418,49.0,24.58823529411765,0.8514577710948755,0.6688424229621888,3.5307211875915527,40,"4.875575,4.598509","1.040462,0.970501,0.961805,0.961576",,
17,444,26.0,24.666666666666668,0.8429431933839268,0.5701718926429749,3.807668685913086,43,"5.167355,4.878161","1.042690,0.967393,0.958154,0.958617",,
18,460,16.0,24.210526315789473,0.8345137614500875,0.5671915411949158,3.9804093837738037,45,"5.369112,5.055223","1.044657,0.965466,0.955680,0.956707",,
19,473,13.0,23.65,0.8261686238355866,0.9187352061271667,4.062856912612915,46,"5.464350,5.146249","1.045779,0.964472,0.954422,0.955710",,
20,518,45.0,24.666666666666668,0.8179069375972308,0.7061693146824837,4.4396398067474365,50,"5.833217,5.518021","1.050122,0.960570,0.949124,0.951541",,
21,537,19.0,24.40909090909091,0.8097278682212584,0.6904022991657257,4.637229681015015,52,"6.013309,5.704702","1.052206,0.958591,0.946382,0.949242",,
22,556,19.0,24.17391304347826,0.8016305895390459,0.5502898097038269,4.871158838272095,54,"6.198340,5.885765","1.054365,0.956875,0.943743,0.946861",,
23,573,17.0,23.875,0.7936142836436554,0.5250637531280518,5.1115241050720215,56,"6.373599,6.076850","1.056336,0.955205,0.941117,0.944685",,
24,589,16.0,23.56,0.7856781408072188,0.670714259147644,5.217141628265381,57,"6.459056,6.172207","1.057339,0.954339,0.939878,0.943661",,
25,615,26.0,23.653846153846153,0.7778213593991467,0.8130583763122559,5.565926551818848,60,"6.713879,6.471852","1.060788,0.952148,0.935962,0.940695",,
26,631,16.0,23.37037037037037,0.7700431458051551,0.721815437078476,5.812843322753906,62,"6.885499,6.668618","1.062620,0.950692,0.933240,0.938873",,
27,655,24.0,23.392857142857142,0.7623427143471035,0.6876799166202545,6.080355882644653,64,"7.057084,6.853420","1.063954,0.949061,0.930690,0.936954",,
28,672,17.0,23.17241379310345,0.7547192872036326,0.6239444315433502,6.271528244018555,66,"7.224420,7.036775","1.065155,0.947550,0.928277,0.935182",,
29,702,30.0,23.4,0.7471720943315961,0.8825056155522665,6.565683364868164,69,"7.465940,7.304997","1.066980,0.945206,0.924715,0.932238",,
30,713,11.0,23.0,0.7397003733882802,0.6622082591056824,6.6442224979400635,70,"7.552593,7.392645","1.067719,0.944430,0.923475,0.931129",,
31,732,19.0,22.875,0.7323033696543975,0.7200759053230286,6.865773916244507,72,"7.734072,7.558308","1.069303,0.942947,0.921027,0.928873",,
32,758,26.0,22.96969696969697,0.7249803359578534,0.8139097094535828,7.084556341171265,74,"7.915379,7.721355","1.071126,0.941690,0.918723,0.926507",,
33,770,12.0,22.647058823529413,0.7177305325982749,0.5546391010284424,7.268828630447388,76,"8.103487,7.892185","1.072828,0.939917,0.916460,0.924006",,
34,832,62.0,23.771428571428572,0.7105532272722921,0.6861060957113901,7.993120193481445,82,"8.631345,8.445689","1.076708,0.933039,0.909222,0.917188",,
35,844,12.0,23.444444444444443,0.7034476949995692,0.6951732635498047,8.140081882476807,83,"8.718230,8.539605","1.077465,0.931967,0.907907,0.916046",,
36,870,26.0,23.513513513513512,0.6964132180495735,0.6121156315008799,8.526620864868164,86,"8.978383,8.805834","1.078143,0.929048,0.904060,0.912819",,
37,897,27.0,23.605263157894736,0.6894490858690777,0.7906611263751984,8.89174771308899,88,"9.155415,8.976278","1.078088,0.927056,0.901637,0.910503",,
38,921,24.0,23.615384615384617,0.682554595010387,0.7658152480920156,9.366958856582642,91,"9.422911,9.237170","1.078462,0.923995,0.898009,0.907279",,
39,964,43.0,24.1,0.6757290490602831,0.7531535848975182,10.078780889511108,95,"9.760358,9.579580","1.079318,0.919771,0.893203,0.902929",,
40,977,13.0,23.829268292682926,0.6689717585696803,1.141229510307312,10.297778844833374,96,"9.841389,9.663171","1.079676,0.918602,0.891955,0.901866",,
41,996,19.0,23.714285714285715,0.6622820409839835,0.7514342665672302,10.697214841842651,98,"10.010439,9.820700","1.080754,0.916692,0.889286,0.899614",,
42,1007,11.0,23.41860465116279,0.6556592205741436,0.35007867217063904,10.849321126937866,99,"10.090731,9.901453","1.081167,0.915672,0.888036,0.898573",,
43,1025,18.0,23.295454545454547,0.6491026283684022,0.6850239038467407,11.169563293457031,101,"10.249249,10.064011","1.081942,0.913473,0.885571,0.896543",,
44,1041,16.0,23.133333333333333,0.6426116020847181,0.4668099284172058,11.477545261383057,103,"10.410091,10.223314","1.082747,0.911692,0.883173,0.894763",,
45,1052,11.0,22.869565217391305,0.6361854860638709,1.0295701026916504,11.669639348983765,104,"10.491470,10.305185","1.083554,0.910809,0.881862,0.894036",,
46,1073,21.0,22.829787234042552,0.6298236312032323,0.6762637495994568,12.014751434326172,106,"10.652543,10.474511","1.085382,0.908844,0.879286,0.892534",,
47,1091,18.0,22.729166666666668,0.6235253948912,0.8086476475000381,12.397419214248657,108,"10.805140,10.648671","1.087510,0.906794,0.876743,0.891080",,
48,1104,13.0,22.53061224489796,0.617290140942288,0.7801374793052673,12.630340814590454,109,"10.881354,10.736890","1.088513,0.905704,0.875458,0.890219",,
49,1123,19.0,22.46,0.611117239532865,0.4529396593570709,12.93556833267212,111,"11.039794,10.909282","1.090790,0.903240,0.873116,0.888463",15.0,2.6832815729997477
50,1150,27.0,22.54901960784314,0.6050060671375364,0.6794469555219015,13.426571607589722,114,"11.284596,11.172305","1.093016,0.899360,0.869804,0.885395",,
51,1178,28.0,22.653846153846153,0.598956006466161,0.7174275815486908,13.926971912384033,116,"11.442885,11.356998","1.094560,0.897108,0.867671,0.883316",,
52,1203,25.0,22.69811320754717,0.5929664464014994,0.48842225472132367,14.40761137008667,119,"11.680276,11.639814","1.096148,0.894062,0.864286,0.880539",,
53,1247,44.0,23.09259259259259,0.5870367819374844,0.8807391375303268,15.099303722381592,123,"11.975507,12.021070","1.097303,0.890019,0.859459,0.876409",,
54,1303,56.0,23.69090909090909,0.5811664141181095,0.9431866457064947,16.247703075408936,129,"12.483529,12.546813","1.100252,0.884259,0.850564,0.870008",,
55,1315,12.0,23.482142857142858,0.5753547499769285,0.3912735879421234,16.394797563552856,130,"12.567682,12.631537","1.100655,0.883446,0.849215,0.868895",,
56,1327,12.0,23.280701754385966,0.5696012024771592,0.7461597919464111,16.569316148757935,131,"12.650049,12.721828","1.100859,0.882564,0.847822,0.867649",,
57,1342,15.0,23.137931034482758,0.5639051904523875,1.178168535232544,16.840744495391846,133,"12.815443,12.886563","1.101192,0.880719,0.845423,0.865192",,
58,1378,36.0,23.35593220338983,0.5582661385478637,0.7492924928665161,17.447588205337524,136,"13.058283,13.142751","1.101794,0.877316,0.841750,0.861329",,
59,1409,31.0,23.483333333333334,0.5526834771623851,0.6054938832918803,17.95799446105957,139,"13.299170,13.407932","1.102682,0.873958,0.837996,0.857512",,
60,1440,31.0,23.60655737704918,0.5471566423907612,0.9522959738969803,18.564767599105835,143,"13.633531,13.764630","1.104865,0.869134,0.832757,0.852711",,
61,1461,21.0,23.56451612903226,0.5416850759668536,0.6579487174749374,18.975838661193848,145,"13.795841,13.929018","1.105577,0.866832,0.830429,0.850407",,
62,1488,27.0,23.61904761904762,0.536268225207185,0.47458188235759735,22.878417253494263,147,"13.958123,14.101251","1.106151,0.864726,0.827973,0.848100",,
63,1520,32.0,23.75,0.5309055429551132,0.6519758328795433,23.758609771728516,151,"14.281237,14.440464","1.106661,0.860374,0.822791,0.843695",,
64,1599,79.0,24.6,0.525596487525562,0.9613935266222272,25.813164710998535,158,"14.865296,14.982275","1.105446,0.853385,0.813963,0.835585",,
65,1657,58.0,25.106060606060606,0.5203405226503064,0.7465795377890269,27.05550217628479,164,"15.421285,15.376591","1.102961,0.848529,0.808177,0.828772",,
66,1688,31.0,25.19402985074627,0.5151371174238033,1.2757663528124492,27.57852339744568,167,"15.658711,15.610502","1.102044,0.846764,0.805296,0.826055",,
67,1732,44.0,25.470588235294116,0.5099857462495653,1.127145254611969,28.499099254608154,172,"16.037888,16.017008","1.100900,0.844057,0.800506,0.820471",,
68,1756,24.0,25.44927536231884,0.5048858887870696,0.6300118416547775,29.006406545639038,174,"16.185730,16.188818","1.100313,0.843287,0.798486,0.818243",,
69,1774,18.0,25.34285714285714,0.4998370298991989,0.6888190805912018,29.417109727859497,176,"16.345787,16.361053","1.099820,0.842267,0.796550,0.815898",,
70,1808,34.0,25.464788732394368,0.49483865960020695,0.9821287393569946,30.08027720451355,179,"16.589464,16.620619","1.099349,0.840692,0.793676,0.812137",,
71,1829,21.0,25.40277777777778,0.4898902730042049,0.5523234754800797,30.47980308532715,181,"16.761625,16.796408","1.099450,0.839438,0.791400,0.809567",,
72,1876,47.0,25.698630136986303,0.48499137027416284,1.075788614153862,31.47611927986145,186,"17.195652,17.210562","1.099031,0.836162,0.787071,0.802978",,
73,1904,28.0,25.72972972972973,0.4801414565714212,0.491822491089503,32.05143165588379,189,"17.459513,17.458279","1.098937,0.833567,0.784302,0.798994",,
74,1924,20.0,25.653333333333332,0.47534004200570695,0.5258197486400604,32.40182375907898,191,"17.626785,17.639698","1.098992,0.831765,0.782195,0.796706",,
75,1956,32.0,25.736842105263158,0.4705866415856499,0.40795138478279114,32.94159150123596,194,"17.878004,17.930861","1.099179,0.828807,0.779039,0.793015",,
76,1983,27.0,25.753246753246753,0.46588077516979337,0.41353221237659454,33.34909701347351,197,"18.130569,18.222345","1.099650,0.826235,0.775638,0.789468",,
77,2009,26.0,25.756410256410255,0.46122196741809546,0.569883406162262,33.71043086051941,199,"18.303556,18.420450","1.099780,0.824642,0.773462,0.786960",,
78,2035,26.0,25.759493670886076,0.4566097477439145,0.8561190366744995,34.2481484413147,202,"18.571579,18.706682","1.099725,0.822233,0.770150,0.783083",,
79,2051,16.0,25.6375,0.45204365026647536,0.3160925954580307,34.57005953788757,204,"18.753885,18.884645","1.099780,0.820499,0.768024,0.780632",,
80,2104,53.0,25.97530864197531,0.4475232137638106,1.0904074907302856,35.532179832458496,209,"19.157726,19.323246","1.100279,0.816971,0.762219,0.775810",,
81,2142,38.0,26.121951219512194,0.4430479816261725,0.6285771206021309,36.159271478652954,213,"19.483242,19.676674","1.100165,0.814477,0.757264,0.771765",,
82,2229,87.0,26.85542168674699,0.43861750180991077,0.955596636980772,37.6067099571228,221,"20.222582,20.369501","1.097311,0.809589,0.747018,0.763123",,
83,2243,14.0,26.702380952380953,0.43423132679181164,0.8314200788736343,37.93679356575012,223,"20.402790,20.527159","1.097052,0.808523,0.744209,0.761064",,
84,2256,13.0,26.541176470588237,0.4298890135238935,0.5162866711616516,38.1398549079895,224,"20.495230,20.609489","1.096830,0.807877,0.742726,0.760083",,
85,2317,61.0,26.941860465116278,0.4255901233886546,0.7320495545864105,39.18009281158447,230,"21.066492,21.140854","1.094422,0.803635,0.733551,0.753080",,
86,2334,17.0,26.82758620689655,0.421334222154768,0.8834773600101471,39.47901439666748,232,"21.244196,21.323252","1.093187,0.801829,0.731001,0.750589",,
87,2423,89.0,27.53409090909091,0.41712087993322033,0.7974274886978997,41.03803730010986,241,"22.015789,22.150398","1.089766,0.793989,0.720759,0.741825",,
88,2446,23.0,27.48314606741573,0.41294967113388814,1.806319236755371,41.363062620162964,243,"22.189734,22.321396","1.089560,0.792606,0.718763,0.739886",,
89,2494,48.0,27.711111111111112,0.40882017442254925,1.1238476872444152,42.12523341178894,248,"22.645630,22.719311","1.088853,0.790093,0.714853,0.734730",,
90,2512,18.0,27.604395604395606,0.4047319726783238,1.344012051820755,42.38168478012085,250,"22.821877,22.882023","1.088658,0.789084,0.713672,0.732761",,
91,2539,27.0,27.597826086956523,0.40068465295154054,1.1277927234768867,42.85905742645264,252,"23.001427,23.029961","1.088460,0.787895,0.712834,0.730838",,
92,2571,32.0,27.64516129032258,0.3966778064220251,0.7631402313709259,43.52081227302551,256,"23.347555,23.351007","1.087087,0.785654,0.710608,0.726442",,
93,2608,37.0,27.74468085106383,0.39271102835780486,1.9444454113642375,44.13499641418457,259,"23.603601,23.607222","1.085872,0.784028,0.708511,0.722926",,
94,2635,27.0,27.736842105263158,0.3887839180742268,1.2121628125508626,44.62631916999817,262,"23.861000,23.862028","1.085312,0.782348,0.706500,0.719850",,
95,2686,51.0,27.979166666666668,0.38489607889348454,0.9993398308753967,45.44283699989319,267,"24.310005,24.290413","1.082971,0.779575,0.702573,0.713804",,
96,2700,14.0,27.835051546391753,0.38104711810454966,1.066859096288681,45.73851943016052,269,"24.494751,24.477140","1.082449,0.778821,0.700529,0.711309",,
97,2728,28.0,27.836734693877553,0.37723664692350417,0.32462120056152344,46.17241024971008,271,"24.665882,24.661606","1.081624,0.777829,0.698542,0.709022",,
98,2805,77.0,28.333333333333332,0.37346428045426916,1.032791031524539,47.42261815071106,279,"25.347406,25.385855","1.077425,0.772523,0.691856,0.699828",,
99,2835,30.0,28.35,0.36972963764972644,0.4198771119117737,47.97508406639099,282,"25.578176,25.661226","1.076040,0.770535,0.689384,0.697404",29.4,7.172168430816443
