episode,env_steps,reward,ma100,epsilon,mean_loss,wall_clock_s,w0,w1,lam0,lam1,lam2,lam3
1,18,18.0,18.0,0.9991585,,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,32,14.0,16.0,0.9984655,,0.001,1.0,1.0,1.0,1.0,1.0,1.0
3,49,17.0,16.333333333333332,0.997624,,0.001,1.0,1.0,1.0,1.0,1.0,1.0
4,75,26.0,18.75,0.996337,,0.002,1.0,1.0,1.0,1.0,1.0,1.0
5,145,70.0,29.0,0.992872,0.8680320259021677,52.487,5.620179653167725,4.680306911468506,1.0384286642074585,0.9566658735275269,0.9544464945793152,0.9524481296539307
6,158,13.0,26.333333333333332,0.9922285,0.7126103547903208,92.615,7.003798961639404,5.518611907958984,1.053057312965393,0.9397218823432922,0.9405458569526672,0.937797486782074
8,241,15.0,30.125,0.98812,1.9240475654602052,254.045,16.627235412597656,11.749533653259277,1.1295193433761597,0.8131604194641113,0.847805380821228,0.8338474035263062
9,254,13.0,28.22222222222222,0.9874765,2.6845973409139194,268.797,17.84710121154785,12.512618064880371,1.1351618766784668,0.7981137633323669,0.8297499418258667,0.8206674456596375
10,273,19.0,27.3,0.986536,2.467331045552304,290.62,19.871410369873047,14.222872734069824,1.149763584136963,0.7726522088050842,0.8037455081939697,0.792891800403595
