episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,24,24.0,24.0,1.0,0.5453429222106934,0.0476689338684082,1,"1.100000,1.100000","1.001000,0.999000,0.999000,0.999000",,
1,61,37.0,30.5,0.99,0.4703216552734375,0.17468571662902832,5,"1.493091,1.493977","1.004925,0.995766,0.995044,0.995643",,
2,77,16.0,25.666666666666668,0.9801,0.4023735821247101,0.19321703910827637,6,"1.591301,1.590768","1.005766,0.994923,0.994065,0.994801",,
3,94,17.0,23.5,0.970299,0.49394591152668,0.2816457748413086,8,"1.789377,1.783738","1.007106,0.993143,0.992176,0.993162",,
4,108,14.0,21.6,0.96059601,0.39540034532546997,0.31275296211242676,9,"1.885827,1.880838","1.007810,0.992204,0.991224,0.992263",,
5,130,22.0,21.666666666666668,0.9509900498999999,0.4018680254618327,0.4235658645629883,12,"2.179902,2.164768","1.009417,0.989423,0.988452,0.989380",,
6,150,20.0,21.428571428571427,0.941480149401,0.47791409492492676,0.4798460006713867,14,"2.373854,2.355643","1.010521,0.987706,0.986643,0.987414",,
7,169,19.0,21.125,0.9320653479069899,0.48480093479156494,0.5284438133239746,15,"2.467571,2.453154","1.011078,0.986771,0.985711,0.986418",,
8,185,16.0,20.555555555555557,0.9227446944279201,0.5417788326740265,0.6123356819152832,17,"2.658956,2.650950","1.012279,0.984823,0.983808,0.984397",,
9,194,9.0,19.4,0.9135172474836408,0.38621485233306885,0.6466493606567383,18,"2.755602,2.749357","1.012970,0.983821,0.982836,0.983380",,
10,263,69.0,23.90909090909091,0.9043820750088044,0.4752292973654611,0.9364964962005615,25,"3.384684,3.445136","1.018434,0.977483,0.975624,0.976665",,
11,278,15.0,23.166666666666668,0.8953382542587164,0.5182937979698181,0.9914789199829102,26,"3.473727,3.543575","1.019021,0.976638,0.974584,0.975564",,
12,321,43.0,24.692307692307693,0.8863848717161292,0.5068101048469543,1.2129826545715332,31,"3.913932,4.033533","1.023184,0.971996,0.969175,0.969779",,
13,342,21.0,24.428571428571427,0.8775210229989678,0.5304887443780899,1.283674716949463,33,"4.100355,4.222418","1.024771,0.970306,0.966946,0.967313",,
14,358,16.0,23.866666666666667,0.8687458127689782,0.6185861825942993,1.3264696598052979,34,"4.190486,4.318931","1.025607,0.969343,0.965823,0.966099",,
15,378,20.0,23.625,0.8600583546412884,0.44745592772960663,1.394524097442627,36,"4.362975,4.515474","1.027458,0.967530,0.963493,0.963761",,
16,392,14.0,23.058823529411764,0.8514577710948755,0.5385935604572296,1.4680705070495605,38,"4.538242,4.712476","1.029259,0.965507,0.961216,0.961536",,
17,406,14.0,22.555555555555557,0.8429431933839268,0.4688599705696106,1.5142481327056885,39,"4.629518,4.807954","1.030158,0.964630,0.960080,0.960342",,
18,461,55.0,24.263157894736842,0.8345137614500875,0.6076386372248331,1.7664706707000732,45,"5.180933,5.362844","1.035486,0.959216,0.953231,0.953153",,
19,476,15.0,23.8,0.8261686238355866,0.5177589058876038,1.8032164573669434,46,"5.271608,5.458391","1.036365,0.958219,0.952097,0.951966",,
20,513,37.0,24.428571428571427,0.8179069375972308,0.548724889755249,1.9811887741088867,50,"5.632924,5.839399","1.039908,0.954411,0.947447,0.947380",,
21,528,15.0,24.0,0.8097278682212584,0.6213398575782776,2.043466329574585,51,"5.727632,5.932968","1.040774,0.953393,0.946329,0.946160",,
