episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,12,12.0,12.0,,23.74675941467285,0.20747756958007812,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
1,27,15.0,13.5,,23.74675941467285,0.20747756958007812,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
2,45,18.0,15.0,,23.74675941467285,0.20747756958007812,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
3,59,14.0,14.75,,23.74675941467285,0.20747756958007812,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
4,74,15.0,14.8,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
5,114,40.0,19.0,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
6,139,25.0,19.857142857142858,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
7,164,25.0,20.5,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
8,176,12.0,19.555555555555557,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
9,185,9.0,18.5,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
10,206,21.0,18.727272727272727,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
11,243,37.0,20.25,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
12,271,28.0,20.846153846153847,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
13,291,20.0,20.785714285714285,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
14,307,16.0,20.466666666666665,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
15,337,30.0,21.0625,,23.74675941467285,0.2096257209777832,1,,"1.009979,1.009998,0.990006,1.010000",,,0.683785,1.064363,47.498795,0.380525
16,354,17.0,20.823529411764707,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
17,370,16.0,20.555555555555557,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
18,393,23.0,20.68421052631579,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
19,411,18.0,20.55,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
20,440,29.0,20.952380952380953,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
21,466,26.0,21.181818181818183,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
22,478,12.0,20.782608695652176,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
23,491,13.0,20.458333333333332,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
24,512,21.0,20.48,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
25,525,13.0,20.192307692307693,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
26,538,13.0,19.925925925925927,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
27,560,22.0,20.0,,24.273239135742188,0.40114593505859375,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
28,600,40.0,20.689655172413794,,24.273239135742188,0.4021437168121338,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
29,611,11.0,20.366666666666667,,24.273239135742188,0.4021437168121338,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
30,626,15.0,20.193548387096776,,24.273239135742188,0.4021437168121338,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
31,636,10.0,19.875,,24.273239135742188,0.4021437168121338,2,,"1.012507,1.003840,0.980156,1.018405",,,0.679281,1.129329,49.602551,0.465181
