episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,31,31.0,31.0,,18.615272521972656,0.8094656467437744,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
1,59,28.0,29.5,,18.615272521972656,0.8104560375213623,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
2,76,17.0,25.333333333333332,,18.615272521972656,0.8104560375213623,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
3,97,21.0,24.25,,18.615272521972656,0.8104560375213623,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
4,153,56.0,30.6,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
5,186,33.0,31.0,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
6,202,16.0,28.857142857142858,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
7,220,18.0,27.5,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
8,245,25.0,27.22222222222222,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
9,266,21.0,26.6,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
10,281,15.0,25.545454545454547,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
11,302,21.0,25.166666666666668,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
12,330,28.0,25.384615384615383,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
13,349,19.0,24.928571428571427,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
14,362,13.0,24.133333333333333,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
15,394,32.0,24.625,,18.615272521972656,0.8125748634338379,1,,"0.990001,1.010000,0.990001,1.010000",,,0.684454,1.064364,37.264378,0.521031
