episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,14,14.0,14.0,,12.102884292602539,0.18470144271850586,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
1,41,27.0,20.5,,12.102884292602539,0.18470144271850586,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
2,62,21.0,20.666666666666668,,12.102884292602539,0.18470144271850586,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
3,85,23.0,21.25,,12.102884292602539,0.18470144271850586,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
4,117,32.0,23.4,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
5,132,15.0,22.0,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
6,166,34.0,23.714285714285715,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
7,178,12.0,22.25,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
8,202,24.0,22.444444444444443,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
9,219,17.0,21.9,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
10,245,26.0,22.272727272727273,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
11,262,17.0,21.833333333333332,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
12,296,34.0,22.76923076923077,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
13,307,11.0,21.928571428571427,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
14,325,18.0,21.666666666666668,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
15,336,11.0,21.0,,12.102884292602539,0.18715977668762207,1,,"0.990007,0.990000,1.010000,0.990000",,,0.686109,0.937963,24.181181,-0.031059
16,348,12.0,20.470588235294116,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
17,360,12.0,20.0,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
18,382,22.0,20.105263157894736,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
19,395,13.0,19.75,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
20,451,56.0,21.476190476190474,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
21,471,20.0,21.40909090909091,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
22,487,16.0,21.17391304347826,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
23,505,18.0,21.041666666666668,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
24,517,12.0,20.68,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
25,537,20.0,20.653846153846153,,11.636075973510742,0.3935716152191162,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
26,560,23.0,20.74074074074074,,11.636075973510742,0.39456939697265625,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
27,572,12.0,20.428571428571427,,11.636075973510742,0.39456939697265625,2,,"0.989727,0.980745,1.012516,0.991352",,,0.686229,0.961028,22.352438,0.018109
