episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,17,17.0,17.0,1.0,,0.0038313865661621094,0,"1.000000,1.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000",,
1,36,19.0,18.0,0.99,0.5265372693538666,0.7039422988891602,2,"1.194762,1.199127","0.998142,1.001990,1.001930,0.998001,1.001934,0.998001,1.001948,1.002000,1.001891,1.001886,0.998037,1.001990,0.998440,1.001965,1.001961,1.000714,1.001618,1.001841,0.998054,1.001999",,
2,73,37.0,24.333333333333332,0.9801,0.5027421712875366,1.032893419265747,6,"1.562668,1.597764","0.995027,1.005993,1.005497,0.994093,1.005615,0.994046,1.005332,1.004688,1.004125,1.005331,0.995105,1.005754,0.997285,1.005907,1.005762,1.002816,1.002581,1.005529,0.994250,1.005358",,
3,84,11.0,21.0,0.9702989999999999,0.5228714942932129,1.1315336227416992,7,"1.659307,1.694505","0.994526,1.006979,1.006061,0.993152,1.006501,0.993226,1.005946,1.004488,1.003890,1.006207,0.995190,1.006732,0.997624,1.006892,1.006699,1.003585,1.002125,1.006428,0.993319,1.005742",,
4,102,18.0,20.4,0.96059601,0.5639550983905792,1.3002231121063232,9,"1.856562,1.884838","0.993399,1.008962,1.006289,0.991271,1.008329,0.991668,1.006094,1.003499,1.003061,1.007857,0.996138,1.008717,0.998374,1.008905,1.008062,1.005263,1.001450,1.008322,0.991962,1.006083",,
5,114,12.0,19.0,0.9509900498999999,0.4935939908027649,1.3769261837005615,10,"1.956262,1.979644","0.992984,1.009974,1.006531,0.990300,1.009118,0.990946,1.006197,1.002947,1.002591,1.008755,0.996719,1.009726,0.998977,1.009930,1.008733,1.006177,1.000942,1.009306,0.991276,1.006279",,
6,129,15.0,18.428571428571427,0.9414801494009999,0.40471553802490234,1.482466459274292,11,"2.055419,2.074609","0.992555,1.010993,1.006768,0.989319,1.009923,0.990225,1.006243,1.002329,1.001991,1.009682,0.997311,1.010738,0.999220,1.010960,1.009460,1.007127,1.000609,1.010309,0.990548,1.006357",,
7,153,24.0,19.125,0.9320653479069899,0.5653879841168722,1.7544960975646973,14,"2.356705,2.359722","0.991220,1.014070,1.007106,0.986371,1.012281,0.988087,1.005834,1.000236,1.000060,1.012561,0.999540,1.013833,0.999910,1.014098,1.011574,1.010077,0.999970,1.013377,0.988264,1.005146",,
8,170,17.0,18.88888888888889,0.92274469442792,0.6208232045173645,1.904139757156372,16,"2.561543,2.550341","0.990486,1.016198,1.007979,0.984336,1.013536,0.987162,1.006024,0.998542,0.998861,1.014460,1.000979,1.015959,0.999990,1.016257,1.013211,1.012111,0.999709,1.015491,0.986557,1.003910",,
9,205,35.0,20.5,0.9135172474836407,0.5739923516909281,2.1731817722320557,19,"2.866630,2.837318","0.988913,1.019402,1.008790,0.981332,1.015166,0.986238,1.005628,0.995739,0.997016,1.017359,1.003414,1.019237,0.999484,1.019513,1.015760,1.015236,1.000181,1.018678,0.983886,1.001640",,
