episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
70,3049,165,168.5,0.4209,0.0011326583276058955,563,47.9,0.0,0.0,0.0,0.0
71,3091,167,168.5,0.4129,0.0009414078736426745,573,48.6,0.0,0.0,0.0,0.0
72,3143,207,170.6,0.403,0.00320742322535877,586,49.7,0.0,0.0,0.0,0.0
73,3185,167,170.6,0.395,0.009556594304740429,597,50.6,0.0,0.0,0.0,0.0
74,3228,170,170.4,0.3869,0.0011454568329182539,608,51.5,0.0,0.0,0.0,0.0
75,3271,171,170.7,0.3787,0.003860157932922448,618,52.2,0.0,0.0,0.0,0.0
76,3313,165,170.45,0.3707,0.010289048585863466,629,53.3,0.0,0.0,0.0,0.0
77,3355,167,170.55,0.3627,0.004758798181774182,639,54.0,0.0,0.0,0.0,0.0
78,3431,300,177.2,0.3483,0.00709804310922903,658,55.7,0.0,0.0,0.0,0.0
79,3483,207,178.85,0.3384,0.0012768261661991486,671,56.8,0.0,0.0,0.0,0.0
80,3535,204,180.45,0.3285,0.011022408885485046,684,58.0,0.0,0.0,0.0,0.0
81,3577,167,180.55,0.3206,0.006728418453183787,695,58.9,0.0,0.0,0.0,0.0
82,3619,167,180.55,0.3126,0.005466038358281367,705,59.7,0.0,0.0,0.0,0.0
83,3661,167,180.55,0.3046,0.004627574614873579,716,60.6,0.0,0.0,0.0,0.0
84,3703,167,180.55,0.2966,0.006783533888028615,726,61.4,0.0,0.0,0.0,0.0
85,3745,165,180.45,0.2886,0.010414215243310371,737,62.4,0.0,0.0,0.0,0.0
86,3787,165,180.2,0.2807,0.004173673164041247,747,63.2,0.0,0.0,0.0,0.0
87,3839,206,181.95,0.2708,0.0037018516808390045,760,64.6,0.0,0.0,0.0,0.0
88,3881,167,181.75,0.2628,0.003893589934291826,771,65.5,0.0,0.0,0.0,0.0
89,3923,167,181.4,0.2548,0.004066059378965292,781,66.6,0.0,0.0,0.0,0.0
90,3965,167,181.5,0.2468,0.004413130382917271,792,67.6,0.0,0.0,0.0,0.0
91,4007,167,181.5,0.2389,0.0010414106778625864,802,68.5,0.0,0.0,0.0,0.0
92,4050,170,179.65,0.2307,0.004038169649323787,813,69.7,0.0,0.0,0.0,0.0
93,4092,165,179.55,0.2227,0.00699735233700432,824,70.5,0.0,0.0,0.0,0.0
94,4144,204,181.25,0.2128,0.005829829573765612,837,71.6,0.0,0.0,0.0,0.0
95,4186,167,181.05,0.2049,0.0010757381074654403,847,72.5,0.0,0.0,0.0,0.0
96,4228,167,181.15,0.1969,0.004418724199323068,858,73.8,0.0,0.0,0.0,0.0
97,4270,167,181.15,0.1889,0.007572591522330185,868,75.1,0.0,0.0,0.0,0.0
98,4312,167,174.5,0.1809,0.0011078879503078167,879,76.2,0.0,0.0,0.0,0.0
99,4365,209,174.6,0.1708,0.01010604773070484,892,77.8,0.0,0.0,0.0,0.0
100,4417,207,174.75,0.161,0.0007457973076200758,905,79.4,0.0,0.0,0.0,0.0
101,4459,167,174.75,0.153,0.008090089893448749,915,80.5,0.0,0.0,0.0,0.0
102,4501,167,174.75,0.145,0.009715624438037841,926,81.7,0.0,0.0,0.0,0.0
103,4544,169,174.85,0.1368,0.0009210133933017707,937,83.0,0.0,0.0,0.0,0.0
104,4586,165,174.75,0.1289,0.00688586350188416,947,84.3,0.0,0.0,0.0,0.0
105,4628,165,174.75,0.1209,0.004192637698989446,958,85.6,0.0,0.0,0.0,0.0
106,4670,165,174.75,0.1129,0.007187483595043886,968,86.8,0.0,0.0,0.0,0.0
107,4712,165,172.7,0.1049,0.0014987061797662384,979,88.2,0.0,0.0,0.0,0.0
108,4754,165,172.6,0.0969,0.003747651850426337,989,89.6,0.0,0.0,0.0,0.0
109,4796,165,172.5,0.089,0.01686947015431625,1000,91.0,0.0,0.0,0.0,0.0
110,4838,165,172.4,0.081,0.004740715626394376,1010,92.0,0.0,0.0,0.0,0.0
