episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta
0,14,14.0,14.0,,0.010557402856647968,0.9120798110961914,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
1,41,27.0,20.5,,0.010557402856647968,0.9120798110961914,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
2,62,21.0,20.666666666666668,,0.010557402856647968,0.9131591320037842,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
3,85,23.0,21.25,,0.010557402856647968,0.9131591320037842,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
4,117,32.0,23.4,,0.010557402856647968,0.9131591320037842,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
5,132,15.0,22.0,,0.010557402856647968,0.9140815734863281,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
6,166,34.0,23.714285714285715,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
7,178,12.0,22.25,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
8,202,24.0,22.444444444444443,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
9,219,17.0,21.9,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
10,245,26.0,22.272727272727273,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
11,262,17.0,21.833333333333332,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
12,296,34.0,22.76923076923077,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
13,307,11.0,21.928571428571427,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
14,325,18.0,21.666666666666668,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
15,336,11.0,21.0,,0.010557402856647968,0.915205717086792,1,,"0.990000,0.990000,1.010000,0.990000",,,0.686109,0.937961
16,348,12.0,20.470588235294116,,0.002067493973299861,1.9543828964233398,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
17,360,12.0,20.0,,0.002067493973299861,1.9553837776184082,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
18,382,22.0,20.105263157894736,,0.002067493973299861,1.9553837776184082,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
19,395,13.0,19.75,,0.002067493973299861,1.9553837776184082,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
20,451,56.0,21.476190476190474,,0.002067493973299861,1.9553837776184082,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
21,471,20.0,21.40909090909091,,0.002067493973299861,1.956395149230957,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
22,487,16.0,21.17391304347826,,0.002067493973299861,1.956395149230957,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
23,505,18.0,21.041666666666668,,0.002067493973299861,1.956395149230957,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
24,517,12.0,20.68,,0.002067493973299861,1.956395149230957,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
25,537,20.0,20.653846153846153,,0.002067493973299861,1.956395149230957,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
26,560,23.0,20.74074074074074,,0.002067493973299861,1.956395149230957,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
27,572,12.0,20.428571428571427,,0.002067493973299861,1.9573922157287598,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
28,591,19.0,20.379310344827587,,0.002067493973299861,1.9573922157287598,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
29,612,21.0,20.4,,0.002067493973299861,1.9573922157287598,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
30,624,12.0,20.129032258064516,,0.002067493973299861,1.9573922157287598,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
31,647,23.0,20.21875,,0.002067493973299861,1.9573922157287598,2,,"0.990629,0.981555,1.009853,0.994534",,,0.686246,0.961338
32,665,18.0,20.151515151515152,,0.0018043506424874067,2.670444965362549,3,,"0.989616,0.982532,1.014084,0.999703",,,0.684994,0.992327
33,687,22.0,20.205882352941178,,0.0018043506424874067,2.670444965362549,3,,"0.989616,0.982532,1.014084,0.999703",,,0.684994,0.992327
34,698,11.0,19.942857142857143,,0.0018043506424874067,2.670444965362549,3,,"0.989616,0.982532,1.014084,0.999703",,,0.684994,0.992327
