episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,39,39.0,39.0,1.0,0.49867212772369385,0.0977025032043457,2,"1.200082,1.199329","0.998159,0.998004,0.998009,0.998010",,
1,82,43.0,41.0,0.99,0.44222553372383117,0.25027918815612793,7,"1.699276,1.680079","0.994048,0.993001,0.993509,0.993034",,
2,133,51.0,44.333333333333336,0.9801,0.4307026922702789,0.44852590560913086,12,"2.196107,2.158335","0.990192,0.987984,0.989184,0.988038",,
3,146,13.0,36.5,0.970299,0.6948773860931396,0.4834604263305664,13,"2.293030,2.256281","0.989483,0.987021,0.988248,0.987020",,
4,168,22.0,33.6,0.96059601,0.5086827278137207,0.562476634979248,15,"2.487037,2.452266","0.987974,0.985205,0.986329,0.984996",,
5,193,25.0,32.166666666666664,0.9509900498999999,0.46531200408935547,0.6659793853759766,18,"2.780150,2.746229","0.985672,0.982491,0.983360,0.982083",,
6,205,12.0,29.285714285714285,0.941480149401,0.47319328784942627,0.7177815437316895,19,"2.877016,2.843138","0.984968,0.981497,0.982340,0.981189",,
7,226,21.0,28.25,0.9320653479069899,0.450662299990654,0.8069226741790771,21,"3.068083,3.032138","0.983358,0.979456,0.980227,0.979372",,
8,250,24.0,27.77777777777778,0.9227446944279201,0.5012966791788737,0.9239678382873535,24,"3.347433,3.317560","0.980866,0.976295,0.976931,0.976719",,
9,282,32.0,28.2,0.9135172474836408,0.4937700132528941,1.023536205291748,27,"3.615662,3.598135","0.978905,0.973052,0.973625,0.973921",,
10,298,16.0,27.09090909090909,0.9043820750088044,0.5471398234367371,1.0877461433410645,28,"3.702727,3.694232","0.978072,0.971900,0.972525,0.972995",,
11,312,14.0,26.0,0.8953382542587164,0.46885456144809723,1.1688652038574219,30,"3.871522,3.892788","0.976420,0.969786,0.970240,0.971170",,
12,326,14.0,25.076923076923077,0.8863848717161292,0.6883118152618408,1.2028038501739502,31,"3.959241,3.988578","0.975637,0.968665,0.969089,0.970196",,
13,372,46.0,26.571428571428573,0.8775210229989678,0.5797489762306214,1.450380563735962,36,"4.410096,4.456674","0.972096,0.963716,0.963200,0.965255",,
14,399,27.0,26.6,0.8687458127689782,0.6133544743061066,1.5326931476593018,38,"4.592598,4.644084","0.970348,0.961897,0.960735,0.963321",,
15,427,28.0,26.6875,0.8600583546412884,0.593328575293223,1.652909755706787,41,"4.875082,4.917615","0.967802,0.959128,0.956991,0.959928",,
16,445,18.0,26.176470588235293,0.8514577710948755,0.5560634434223175,1.7293400764465332,43,"5.067195,5.094693","0.966404,0.957194,0.954400,0.957464",,
17,504,59.0,28.0,0.8429431933839268,0.5568857987721761,2.023451566696167,49,"5.657701,5.630298","0.964199,0.951248,0.946798,0.949546",,
18,516,12.0,27.157894736842106,0.8345137614500875,0.5050126314163208,2.0549378395080566,50,"5.756316,5.720588","0.963916,0.950211,0.945688,0.948113",,
19,551,35.0,27.55,0.8261686238355866,0.5763834416866302,2.2188596725463867,54,"6.139395,6.074585","0.962159,0.946079,0.941689,0.942475",,
20,571,20.0,27.19047619047619,0.8179069375972308,0.7238394320011139,2.303121566772461,56,"6.330569,6.250392","0.961283,0.944108,0.939705,0.939713",,
21,592,21.0,26.90909090909091,0.8097278682212584,0.5686575919389725,2.3825485706329346,58,"6.532560,6.417761","0.960428,0.942221,0.937796,0.936893",,
22,613,21.0,26.652173913043477,0.8016305895390459,0.8824318647384644,2.492081642150879,60,"6.729300,6.584313","0.959729,0.940074,0.935806,0.934125",,
23,649,36.0,27.041666666666668,0.7936142836436554,0.7960341970125834,2.6534945964813232,63,"7.008678,6.846735","0.958578,0.936638,0.932608,0.930200",,
24,754,105.0,30.16,0.7856781408072188,0.7507294145497408,3.1931257247924805,74,"7.911589,7.907214","0.952762,0.924756,0.918828,0.915833",,
25,779,25.0,29.96153846153846,0.7778213593991467,0.732711523771286,3.2868175506591797,76,"8.066289,8.109333","0.951839,0.922702,0.916108,0.913424",,
26,814,35.0,30.14814814814815,0.7700431458051551,0.7394073903560638,3.4770069122314453,80,"8.370540,8.512321","0.949760,0.918079,0.910755,0.908152",,
27,847,33.0,30.25,0.7623427143471035,0.5940780639648438,3.631213426589966,83,"8.614083,8.812177","0.948673,0.914107,0.906859,0.904099",,
28,931,84.0,32.10344827586207,0.7547192872036326,0.8365206056170993,4.123044013977051,92,"9.383865,9.647146","0.946626,0.903221,0.896320,0.892247",,
29,948,17.0,31.6,0.7471720943315961,0.4713205397129059,4.19667911529541,93,"9.478340,9.731840","0.946681,0.902070,0.895190,0.890903",,
30,963,15.0,31.06451612903226,0.7397003733882802,0.9022717177867889,4.279372930526733,95,"9.669282,9.894917","0.946431,0.899459,0.893049,0.888226",,
31,988,25.0,30.875,0.7323033696543975,0.5615755915641785,4.40156888961792,97,"9.856558,10.066117","0.945239,0.896953,0.890765,0.885666",,
32,1064,76.0,32.24242424242424,0.7249803359578534,0.6880035810172558,4.808217525482178,105,"10.612199,10.772354","0.939688,0.888062,0.881169,0.875434",,
33,1084,20.0,31.88235294117647,0.7177305325982749,0.6955268681049347,4.913069486618042,107,"10.797016,10.953536","0.939038,0.886446,0.878467,0.873092",,
34,1101,17.0,31.457142857142856,0.7105532272722921,0.7148735821247101,4.989242076873779,109,"10.989176,11.123576","0.938490,0.884838,0.875859,0.870661",,
35,1113,12.0,30.916666666666668,0.7034476949995692,0.621008574962616,5.070496082305908,110,"11.085942,11.210520","0.938444,0.884003,0.874518,0.869500",,
36,1124,11.0,30.37837837837838,0.6964132180495735,0.8264666795730591,5.150655746459961,111,"11.180194,11.297737","0.938140,0.883050,0.873147,0.868311",,
37,1257,133.0,33.078947368421055,0.6894490858690777,0.8000376637165363,5.833441495895386,124,"12.360989,12.434741","0.929615,0.867890,0.858679,0.851473",,
38,1284,27.0,32.92307692307692,0.682554595010387,0.7023289899031321,5.9650959968566895,127,"12.642965,12.681918","0.926451,0.864061,0.855566,0.847562",,
39,1321,37.0,33.025,0.6757290490602831,0.661144345998764,6.1803975105285645,131,"13.018128,13.018764","0.921251,0.859104,0.851341,0.842433",,
40,1341,20.0,32.707317073170735,0.6689717585696803,1.0219967067241669,6.284329414367676,133,"13.201953,13.185375","0.918051,0.856412,0.849458,0.840002",,
41,1356,15.0,32.285714285714285,0.6622820409839835,1.4526355266571045,6.35611629486084,134,"13.285856,13.273389","0.916474,0.855087,0.848436,0.838792",,
42,1371,15.0,31.88372093023256,0.6556592205741436,0.9989318549633026,6.428227424621582,136,"13.442379,13.450100","0.914389,0.852497,0.846148,0.836604",,
43,1390,19.0,31.59090909090909,0.6491026283684022,0.42425820231437683,6.526089668273926,138,"13.603743,13.618753","0.912534,0.850053,0.843784,0.834526",,
44,1405,15.0,31.22222222222222,0.6426116020847181,0.2642998695373535,6.621343374252319,139,"13.681289,13.704723","0.911659,0.848980,0.842622,0.833547",,
45,1429,24.0,31.065217391304348,0.6361854860638709,0.4142215996980667,6.715476989746094,141,"13.831176,13.884765","0.910201,0.846952,0.840349,0.831608",,
46,1495,66.0,31.80851063829787,0.6298236312032323,0.7418880122048515,7.087122678756714,148,"14.405582,14.514406","0.904391,0.839128,0.831529,0.823790",,
47,1523,28.0,31.729166666666668,0.6235253948912,0.75238170226415,7.248575687408447,151,"14.675090,14.770179","0.902159,0.836049,0.827874,0.819889",,
48,1585,62.0,32.3469387755102,0.617290140942288,0.646158034602801,7.6228413581848145,157,"15.180466,15.322671","0.899312,0.829464,0.820392,0.811760",,
49,1630,45.0,32.6,0.611117239532865,0.8390612244606018,7.928513050079346,162,"15.591455,15.768219","0.897489,0.823454,0.813942,0.804790",74.4,37.56913626901742
