episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,29,29.0,29.0,1.0,1.3021746703556605,0.5251312255859375,14,"2.320521,2.391432","0.987766,0.985794,0.985810,0.985869",,
1,52,23.0,26.0,0.99,1.9730327647665273,1.3723454475402832,37,"4.529654,4.481087","0.990798,0.959314,0.961482,0.959077",,
2,72,20.0,24.0,0.9801,2.661693352460861,2.0839054584503174,57,"6.672424,6.431428","1.004544,0.933859,0.937844,0.931745",,
3,119,47.0,29.75,0.970299,2.714078875298196,3.798729419708252,104,"11.919277,11.587556","1.033989,0.878783,0.886395,0.865742",,
4,142,23.0,28.4,0.96059601,3.4252016648002295,4.612275123596191,127,"14.357375,14.343653","1.015774,0.854390,0.853975,0.834233",,
5,155,13.0,25.833333333333332,0.9509900498999999,3.5012345084777245,5.079177379608154,140,"15.597289,15.875188","1.005511,0.839394,0.835682,0.817749",,
6,182,27.0,26.0,0.941480149401,3.717600932827702,6.11135721206665,167,"18.126036,18.537588","0.978058,0.804400,0.809140,0.783359",,
7,221,39.0,27.625,0.9320653479069899,4.8402313116269235,7.684074878692627,206,"21.606550,22.175657","0.960228,0.763764,0.769600,0.738306",,
8,235,14.0,26.11111111111111,0.9227446944279201,5.671349925654275,8.25421953201294,220,"22.956738,23.454718","0.950925,0.743059,0.754275,0.720766",,
9,256,21.0,25.6,0.9135172474836408,6.729184014456613,9.094973802566528,241,"24.849493,24.959934","0.953012,0.723428,0.742966,0.703967",,
10,272,16.0,24.727272727272727,0.9043820750088044,6.840061083436012,9.69149661064148,257,"26.301107,26.459921","0.942875,0.707249,0.731426,0.687065",,
11,306,34.0,25.5,0.8953382542587164,10.454533296472887,11.118492603302002,291,"28.856005,29.490818","0.935038,0.666277,0.712583,0.658416",,
12,341,35.0,26.23076923076923,0.8863848717161292,6.3000336919512065,12.572713613510132,326,"31.811922,32.636730","0.920116,0.636688,0.686033,0.629542",,
13,359,18.0,25.642857142857142,0.8775210229989678,10.039704455269707,13.212909936904907,344,"33.434910,34.191326","0.907365,0.620292,0.663425,0.611191",,
14,408,49.0,27.2,0.8687458127689782,11.199099324187454,15.224589824676514,393,"37.278816,37.914413","0.897606,0.575158,0.623130,0.572202",,
15,420,12.0,26.25,0.8600583546412884,26.331040402253468,15.721932172775269,405,"37.650993,38.581093","0.901041,0.559504,0.627247,0.566003",,
16,489,69.0,28.764705882352942,0.8514577710948755,13.643878097119538,18.658689260482788,474,"42.660053,42.797005","0.892130,0.494045,0.611336,0.509775",,
17,509,20.0,28.27777777777778,0.8429431933839268,7.940835928916931,19.59322762489319,494,"44.138897,44.365822","0.875908,0.477387,0.606028,0.490924",,
18,523,14.0,27.526315789473685,0.8345137614500875,14.905427421842303,20.24668836593628,508,"44.746483,45.312347","0.866484,0.464520,0.602998,0.483610",,
19,562,39.0,28.1,0.8261686238355866,20.6208320580996,22.012444257736206,547,"46.233051,45.921192","0.873286,0.432005,0.615687,0.484844",,
20,584,22.0,27.80952380952381,0.8179069375972308,28.688472753221337,22.95228385925293,569,"46.458065,46.567165","0.890865,0.412858,0.639270,0.496076",,
21,609,25.0,27.681818181818183,0.8097278682212584,10.546882076263428,24.08507227897644,594,"47.885761,47.827049","0.888207,0.389791,0.645489,0.487832",,
22,645,36.0,28.043478260869566,0.8016305895390459,13.876385698715845,25.708410501480103,630,"49.859177,50.258713","0.882470,0.355805,0.640073,0.468815",,
23,718,73.0,29.916666666666668,0.7936142836436554,18.11620241158629,28.853097677230835,703,"53.135181,53.108131","0.868070,0.291770,0.670810,0.473687",,
24,755,37.0,30.2,0.7856781408072188,25.978250883721017,30.3763427734375,740,"54.105145,53.787201","0.865730,0.263315,0.685878,0.490672",,
25,781,26.0,30.03846153846154,0.7778213593991467,14.430906655696722,31.46179699897766,766,"55.197906,54.600285","0.847479,0.239122,0.686710,0.495677",,
26,809,28.0,29.962962962962962,0.7700431458051551,12.549283176660538,32.689058780670166,794,"57.466518,55.705799","0.822014,0.215138,0.681722,0.487412",,
27,827,18.0,29.535714285714285,0.7623427143471035,17.248785919613308,33.40109705924988,812,"58.143559,57.249817","0.799571,0.191403,0.684897,0.485589",,
28,840,13.0,28.96551724137931,0.7547192872036326,12.642021509317251,33.95290970802307,825,"58.795685,58.170822","0.785631,0.179176,0.688265,0.484358",,
29,883,43.0,29.433333333333334,0.7471720943315961,22.21634475020475,35.81996393203735,868,"60.729073,59.785400","0.740025,0.147570,0.708527,0.504767",,
30,904,21.0,29.161290322580644,0.7397003733882802,12.168823287600564,36.76854062080383,889,"62.428852,60.854836","0.715161,0.133465,0.713175,0.504573",,
31,926,22.0,28.9375,0.7323033696543975,31.276163187893953,37.72859454154968,911,"63.477402,62.348911","0.696265,0.111099,0.725484,0.505687",,
32,945,19.0,28.636363636363637,0.7249803359578534,21.374151480825322,38.6438467502594,930,"64.430328,63.907692","0.683180,0.099562,0.724778,0.510419",,
33,973,28.0,28.61764705882353,0.7177305325982749,23.5542339852878,39.83069586753845,958,"66.225487,65.149696","0.664626,0.082731,0.726963,0.522855",,
34,1023,50.0,29.228571428571428,0.7105532272722921,26.13850561618805,41.97132968902588,1008,"68.884476,67.679924","0.625503,0.052335,0.734337,0.523655",,
35,1088,65.0,30.22222222222222,0.7034476949995692,24.497147904909575,44.751707792282104,1073,"72.401794,70.520798","0.608342,0.039920,0.738539,0.524555",,
36,1215,127.0,32.83783783783784,0.6964132180495735,24.356606774442778,50.47620129585266,1200,"79.393661,77.574409","0.518731,-0.004611,0.743012,0.533363",,
37,1230,15.0,32.36842105263158,0.6894490858690777,24.77822732925415,51.18201732635498,1215,"80.222626,78.491066","0.514677,0.000076,0.740494,0.537807",,
38,1244,14.0,31.897435897435898,0.682554595010387,29.465696096420288,51.87871527671814,1229,"80.910606,79.400276","0.505767,0.000359,0.736107,0.542885",,
39,1349,105.0,33.725,0.6757290490602831,27.755187983739944,57.06945252418518,1334,"88.264847,87.746414","0.423366,-0.033678,0.721579,0.544507",,
40,1373,24.0,33.48780487804878,0.6689717585696803,34.70464062690735,58.151100397109985,1358,"90.314667,88.916107","0.400733,-0.039246,0.726781,0.545543",,
41,1453,80.0,34.595238095238095,0.6622820409839835,25.403830307722092,61.91912484169006,1438,"95.661667,94.578377","0.346119,-0.052914,0.705713,0.537335",,
42,1546,93.0,35.95348837209303,0.6556592205741436,26.22610613351227,66.2161762714386,1531,"102.357819,101.922729","0.277166,-0.082965,0.712917,0.551293",,
43,1691,145.0,38.43181818181818,0.6491026283684022,34.34242513261992,72.64663505554199,1676,"113.525993,113.609833","0.200571,-0.085872,0.725525,0.542928",,
44,1781,90.0,39.577777777777776,0.6426116020847181,26.724407998720803,76.67684817314148,1766,"119.461952,120.334290","0.160410,-0.089669,0.726685,0.544809",,
45,1871,90.0,40.67391304347826,0.6361854860638709,39.31905925538805,80.62153124809265,1856,"125.368019,126.928528","0.085720,-0.113359,0.734758,0.558544",,
46,1949,78.0,41.46808510638298,0.6298236312032323,40.3615269110753,84.08750987052917,1934,"131.741043,133.633652","0.048410,-0.128058,0.734711,0.568917",,
47,1994,45.0,41.541666666666664,0.6235253948912,37.111187336179945,86.2121593952179,1979,"136.065903,137.467209","0.038999,-0.143629,0.740046,0.568600",,
48,2010,16.0,41.02040816326531,0.617290140942288,41.67945209145546,86.84803009033203,1995,"137.634399,139.079025","0.041049,-0.140421,0.734195,0.565065",,
49,2093,83.0,41.86,0.611117239532865,38.13913548710835,90.60091471672058,2078,"145.138504,146.750900","0.018244,-0.146549,0.730341,0.573799",500.0,0.0
50,2163,70.0,42.411764705882355,0.6050060671375364,43.044836793627056,93.80643963813782,2148,"152.204239,153.877853","0.002144,-0.138092,0.705981,0.582822",,
51,2223,60.0,42.75,0.598956006466161,46.065216604868574,96.47986459732056,2208,"159.185287,160.986481","-0.018351,-0.139026,0.709046,0.566672",,
52,2360,137.0,44.528301886792455,0.5929664464014994,44.29178784015405,102.57863235473633,2345,"173.285339,174.559250","-0.047166,-0.119915,0.701531,0.551789",,
53,2468,108.0,45.7037037037037,0.5870367819374844,53.84109659989675,107.19388723373413,2453,"183.386978,185.458572","-0.042451,-0.126107,0.700062,0.540300",,
54,2521,53.0,45.836363636363636,0.5811664141181095,61.27028846740723,109.44439387321472,2506,"189.498093,191.071869","-0.047151,-0.105368,0.682406,0.526949",,
55,2696,175.0,48.142857142857146,0.5753547499769285,62.08689264297485,116.38006401062012,2681,"204.006119,205.995560","-0.081661,-0.110525,0.687499,0.557468",,
56,2825,129.0,49.56140350877193,0.5696012024771592,75.44902299540911,122.09103178977966,2810,"215.924911,218.032486","-0.068928,-0.118622,0.707267,0.554554",,
57,3060,235.0,52.758620689655174,0.5639051904523875,67.73351317872392,132.74692964553833,3045,"238.783173,241.176376","-0.033635,-0.102056,0.696133,0.525179",,
58,3134,74.0,53.11864406779661,0.5582661385478637,123.03980829909041,136.2243983745575,3119,"244.533646,247.644928","-0.069771,-0.115638,0.708911,0.533180",,
59,3486,352.0,58.1,0.5526834771623851,93.54521578279409,152.3169720172882,3471,"274.560638,277.722565","-0.046191,-0.074498,0.708710,0.510811",,
60,3566,80.0,58.459016393442624,0.5471566423907612,83.77117872238159,156.07625675201416,3551,"280.618622,284.882782","-0.035744,-0.061331,0.698361,0.515392",,
61,3717,151.0,59.95161290322581,0.5416850759668536,132.71186510932367,162.8284454345703,3702,"291.710083,296.891083","-0.058371,-0.058512,0.672534,0.497741",,
62,3771,54.0,59.857142857142854,0.536268225207185,150.58733941890574,165.22405099868774,3756,"295.278412,299.426117","-0.056275,-0.047698,0.698078,0.515092",,
63,3819,48.0,59.671875,0.5309055429551132,100.51922881603241,167.26723194122314,3804,"298.203827,304.485260","-0.053152,-0.055182,0.700568,0.514987",,
64,3939,120.0,60.6,0.525596487525562,150.97235972086588,172.4011378288269,3924,"307.055969,312.288666","-0.061273,-0.038348,0.714232,0.546356",,
65,3997,58.0,60.56060606060606,0.5203405226503064,101.7666020228945,174.84857153892517,3982,"312.295410,317.866516","-0.058456,-0.045375,0.706524,0.540084",,
66,4185,188.0,62.46268656716418,0.5151371174238033,142.6919685931916,183.4712700843811,4170,"326.115997,332.376770","-0.042074,-0.051870,0.739207,0.544642",,
67,4391,206.0,64.57352941176471,0.5099857462495653,175.3359542402249,192.44965434074402,4376,"341.530182,347.609924","-0.059632,-0.040061,0.752671,0.535607",,
68,4839,448.0,70.1304347826087,0.5048858887870696,154.7948760986328,210.27501368522644,4824,"376.901306,381.922394","-0.044758,0.004181,0.754730,0.521294",,
69,4921,82.0,70.3,0.4998370298991989,143.95889154294642,213.00563430786133,4906,"381.973175,388.145874","-0.036508,0.009455,0.771955,0.536235",,
70,5091,170.0,71.70422535211267,0.49483865960020695,200.49040192996753,218.51999044418335,5076,"395.893585,401.680145","-0.041437,0.013937,0.769685,0.545774",,
71,5591,500.0,77.65277777777777,0.4898902730042049,173.69785976791383,234.845960855484,5576,"432.911957,438.264191","-0.042148,0.040811,0.753922,0.519807",,
72,5815,224.0,79.65753424657534,0.48499137027416284,226.3303785579545,242.6599645614624,5800,"448.857391,453.433258","-0.021673,0.057266,0.751875,0.525483",,
73,6053,238.0,81.79729729729729,0.4801414565714212,320.62544810671767,249.58203315734863,6038,"463.495636,465.968231","0.013130,0.057152,0.765837,0.530618",,
74,6328,275.0,84.37333333333333,0.47534004200570695,332.1611399980025,257.49911427497864,6313,"481.469635,483.018585","0.004999,0.050699,0.752534,0.517709",,
75,6667,339.0,87.72368421052632,0.4705866415856499,335.5826178187818,267.4728617668152,6652,"500.163696,500.269501","0.002189,0.068187,0.751564,0.510055",,
76,6937,270.0,90.0909090909091,0.46588077516979337,288.7644814879806,275.5791087150574,6922,"514.770264,515.276245","-0.006102,0.078983,0.713648,0.486906",,
77,7196,259.0,92.25641025641026,0.46122196741809546,454.54662978419003,282.67454838752747,7181,"525.658875,526.493530","-0.017305,0.066908,0.719986,0.489162",,
78,7696,500.0,97.41772151898734,0.4566097477439145,600.8196459007263,296.055282831192,7681,"541.140991,541.085144","0.012970,0.104263,0.729073,0.505465",,
79,8022,326.0,100.275,0.45204365026647536,855.560061010115,305.10889625549316,8007,"549.411438,547.606201","0.025393,0.108846,0.725693,0.496684",,
80,8265,243.0,102.03703703703704,0.4475232137638106,606.127787939315,311.5754747390747,8250,"555.074463,552.123474","0.036843,0.110790,0.716975,0.492683",,
81,8539,274.0,104.13414634146342,0.4430479816261725,848.441963098345,319.0179841518402,8524,"561.403809,557.736694","0.054882,0.134630,0.711047,0.489645",,
82,8625,86.0,103.91566265060241,0.43861750180991077,766.6137137302132,321.428692817688,8610,"561.507874,560.695984","0.066759,0.136695,0.728309,0.503376",,
83,8854,229.0,105.4047619047619,0.43423132679181164,854.2398736279083,328.16578912734985,8839,"566.205444,565.169006","0.109978,0.160013,0.721100,0.488143",,
84,8935,81.0,105.11764705882354,0.4298890135238935,716.2247823079427,330.6832444667816,8920,"568.684814,565.985840","0.114483,0.158250,0.718686,0.482498",,
85,9435,500.0,109.70930232558139,0.4255901233886546,684.6933226737976,353.09352850914,9420,"578.425720,575.349792","0.162321,0.151274,0.708927,0.466832",,
86,9632,197.0,110.71264367816092,0.421334222154768,663.1098179792995,365.0554687976837,9617,"581.322021,579.606201","0.190560,0.179540,0.704116,0.476270",,
87,9799,167.0,111.35227272727273,0.41712087993322033,1050.500440723168,375.01915407180786,9784,"583.971375,582.120056","0.221056,0.182759,0.709509,0.486820",,
88,10120,321.0,113.70786516853933,0.41294967113388814,670.2712264788856,394.3108823299408,10105,"591.164001,589.441650","0.239885,0.190269,0.710875,0.490463",,
89,10426,306.0,115.84444444444445,0.40882017442254925,982.2534438301535,412.51769971847534,10411,"595.348877,593.670166","0.277745,0.183496,0.709090,0.463728",,
90,10757,331.0,118.20879120879121,0.4047319726783238,866.7768998160464,432.24948263168335,10742,"598.386047,594.911316","0.299812,0.198965,0.707715,0.452470",,
91,10900,143.0,118.47826086956522,0.40068465295154054,1117.7982126782824,440.65209197998047,10885,"597.350098,595.764893","0.338191,0.212521,0.703171,0.448818",,
