episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
69,3546,182,201.65,0.6258,0.0070062277265440735,687,39.4,0.0,0.0,0.0,0.0
70,3604,231,204.1,0.6197,0.005594680795184104,702,40.2,0.0,0.0,0.0,0.0
71,3651,185,201.75,0.6147,0.009622403370568381,713,40.8,0.0,0.0,0.0,0.0
72,3708,227,204.0,0.6087,0.006296056583717776,728,41.7,0.0,0.0,0.0,0.0
73,3765,227,206.15,0.6027,0.007645499609809901,742,42.5,0.0,0.0,0.0,0.0
74,3811,182,203.5,0.5978,0.00756082170648204,753,43.2,0.0,0.0,0.0,0.0
75,3870,234,205.8,0.5916,0.013054863760771696,768,44.0,0.0,0.0,0.0,0.0
76,3942,285,210.75,0.584,0.008730189886894854,786,45.1,0.0,0.0,0.0,0.0
77,3990,191,210.8,0.5789,0.007878153981437208,798,45.9,0.0,0.0,0.0,0.0
78,4038,190,208.7,0.5739,0.01449349721466812,810,46.7,0.0,0.0,0.0,0.0
79,4084,182,208.4,0.569,0.007563830845659443,822,47.5,0.0,0.0,0.0,0.0
80,4132,189,208.7,0.5639,0.004085629005809703,834,48.2,0.0,0.0,0.0,0.0
81,4179,185,208.7,0.559,0.01493123031369495,845,48.9,0.0,0.0,0.0,0.0
82,4226,185,208.85,0.554,0.007886821869760752,857,49.6,0.0,0.0,0.0,0.0
83,4272,182,206.15,0.5492,0.0052692558577594655,869,50.5,0.0,0.0,0.0,0.0
84,4319,187,203.85,0.5442,0.001607279758900404,880,51.3,0.0,0.0,0.0,0.0
85,4377,229,206.2,0.5381,0.001800919797581931,895,52.3,0.0,0.0,0.0,0.0
86,4423,182,205.85,0.5332,0.005779753968288953,906,53.0,0.0,0.0,0.0,0.0
87,4469,182,203.45,0.5284,0.008114629476040136,918,53.7,0.0,0.0,0.0,0.0
88,4516,185,201.1,0.5234,0.006497328648038092,930,54.4,0.0,0.0,0.0,0.0
89,4564,189,201.45,0.5184,0.0038635062980271564,942,55.2,0.0,0.0,0.0,0.0
90,4610,182,199.0,0.5135,0.0009552643962458453,953,55.9,0.0,0.0,0.0,0.0
91,4656,182,198.85,0.5086,0.001171814436626543,965,56.6,0.0,0.0,0.0,0.0
92,4703,187,196.85,0.5037,0.0005887422918352637,976,57.3,0.0,0.0,0.0,0.0
93,4749,182,194.6,0.4988,0.0010638603847231327,988,57.9,0.0,0.0,0.0,0.0
94,4796,184,194.7,0.4939,0.001360973509993831,1000,58.6,0.0,0.0,0.0,0.0
95,4842,182,192.1,0.489,0.010052270377689803,1011,59.4,0.0,0.0,0.0,0.0
96,4889,185,187.1,0.484,0.005604495219207213,1023,60.1,0.0,0.0,0.0,0.0
97,4935,182,186.65,0.4792,0.0028254134535514327,1034,60.8,0.0,0.0,0.0,0.0
98,4981,182,186.25,0.4743,0.007694430137538196,1046,61.5,0.0,0.0,0.0,0.0
99,5027,182,186.25,0.4695,0.004498773151267828,1057,62.3,0.0,0.0,0.0,0.0
100,5073,182,185.9,0.4646,0.0014246054585479821,1069,63.0,0.0,0.0,0.0,0.0
101,5120,185,185.9,0.4597,0.0015678883658741445,1081,63.7,0.0,0.0,0.0,0.0
102,5166,182,185.75,0.4548,0.0009846926960480314,1092,64.3,0.0,0.0,0.0,0.0
103,5213,185,185.9,0.4498,0.0023818697967120292,1104,65.0,0.0,0.0,0.0,0.0
104,5259,182,185.65,0.445,0.0029641170377462086,1115,65.6,0.0,0.0,0.0,0.0
105,5306,185,183.45,0.44,0.0031994090798737793,1127,66.3,0.0,0.0,0.0,0.0
106,5353,185,183.6,0.4351,0.004038638750595662,1139,67.1,0.0,0.0,0.0,0.0
107,5400,185,183.75,0.4301,0.0019091423606975393,1151,67.8,0.0,0.0,0.0,0.0
108,5447,185,183.75,0.4251,0.0023891398662023926,1162,68.5,0.0,0.0,0.0,0.0
109,5505,229,185.75,0.419,0.001010407760622911,1177,69.3,0.0,0.0,0.0,0.0
110,5551,182,185.75,0.4142,0.0012090941176707433,1188,70.0,0.0,0.0,0.0,0.0
111,5597,182,185.75,0.4093,0.002192492382467511,1200,70.9,0.0,0.0,0.0,0.0
112,5644,186,185.7,0.4043,0.0017711496887689766,1212,71.8,0.0,0.0,0.0,0.0
113,5691,185,185.85,0.3994,0.0007440259617975574,1223,72.5,0.0,0.0,0.0,0.0
114,5752,241,188.7,0.393,0.00219477777091015,1239,73.5,0.0,0.0,0.0,0.0
115,5800,190,189.1,0.3879,0.0045244713946885895,1251,74.2,0.0,0.0,0.0,0.0
116,5857,227,191.2,0.3819,0.002209574629627501,1265,75.1,0.0,0.0,0.0,0.0
117,5905,190,191.6,0.3768,0.0020731795145062883,1277,75.9,0.0,0.0,0.0,0.0
118,5976,282,196.6,0.3693,0.002198271861642651,1295,77.0,0.0,0.0,0.0,0.0
119,6023,185,196.75,0.3643,0.0036858576859231107,1306,77.7,0.0,0.0,0.0,0.0
120,6070,187,197.0,0.3594,0.0013594488870391312,1318,78.4,0.0,0.0,0.0,0.0
121,6117,185,197.0,0.3544,0.0006052840223370973,1330,79.2,0.0,0.0,0.0,0.0
122,6163,182,197.0,0.3496,0.0006251241270960732,1341,79.9,0.0,0.0,0.0,0.0
123,6221,230,199.25,0.3434,0.0022288087079990267,1356,80.8,0.0,0.0,0.0,0.0
124,6279,229,201.6,0.3373,0.0021108917234024765,1370,81.7,0.0,0.0,0.0,0.0
125,6325,183,201.5,0.3325,0.0010854642090028694,1382,82.5,0.0,0.0,0.0,0.0
126,6372,185,201.5,0.3275,0.0009899547961443507,1394,83.3,0.0,0.0,0.0,0.0
127,6420,190,201.75,0.3224,0.0015717689050992096,1406,84.0,0.0,0.0,0.0,0.0
128,6467,186,201.8,0.3175,0.0019667721618051555,1417,84.7,0.0,0.0,0.0,0.0
129,6514,185,199.6,0.3125,0.0011178766594639455,1429,85.4,0.0,0.0,0.0,0.0
130,6560,182,199.6,0.3077,0.003638320629761438,1441,86.2,0.0,0.0,0.0,0.0
131,6606,182,199.6,0.3028,0.0012312743280993097,1452,86.9,0.0,0.0,0.0,0.0
132,6652,182,199.4,0.298,0.0023156798943091417,1464,87.7,0.0,0.0,0.0,0.0
133,6699,184,199.35,0.293,0.0013334528147507544,1475,88.4,0.0,0.0,0.0,0.0
134,6746,185,196.55,0.288,0.0014482768786668505,1487,89.1,0.0,0.0,0.0,0.0
135,6792,182,196.15,0.2832,0.0027897938543901546,1499,89.8,0.0,0.0,0.0,0.0
136,6839,184,194.0,0.2782,0.0043785982574759555,1510,90.5,0.0,0.0,0.0,0.0
137,6886,185,193.75,0.2732,0.00793484118185006,1522,91.3,0.0,0.0,0.0,0.0
138,6932,182,188.75,0.2684,0.0020564881512351954,1534,92.0,0.0,0.0,0.0,0.0
139,6978,182,188.6,0.2635,0.0039491059925983955,1545,92.7,0.0,0.0,0.0,0.0
140,7025,185,188.5,0.2586,0.002281748615738858,1557,93.5,0.0,0.0,0.0,0.0
141,7071,182,188.35,0.2537,0.002442999921516854,1568,94.2,0.0,0.0,0.0,0.0
142,7118,185,188.5,0.2488,0.002132521002446689,1580,94.9,0.0,0.0,0.0,0.0
143,7165,184,186.2,0.2438,0.0033231771561380206,1592,95.7,0.0,0.0,0.0,0.0
144,7211,182,183.85,0.2389,0.002736252227226611,1603,96.5,0.0,0.0,0.0,0.0
145,7259,189,184.15,0.2339,0.004016864626767831,1615,97.2,0.0,0.0,0.0,0.0
146,7305,182,184.0,0.229,0.0015584377221481798,1627,98.0,0.0,0.0,0.0,0.0
