episode,env_steps,reward,ma100,epsilon,mean_loss,wall_clock_s
89,2090,60.0,23.48314606741573,0.8965945,3.6011895750959715,2.679
90,2156,66.0,23.955555555555556,0.8933275,3.7970009644826255,2.784
91,2180,24.0,23.956043956043956,0.8921395,4.438904322683811,2.82
92,2212,32.0,24.043478260869566,0.8905555,3.581137073226273,2.886
93,2276,64.0,24.473118279569892,0.8873875,6.031641421839595,2.974
94,2295,19.0,24.414893617021278,0.886447,5.498743101170189,3.0
95,2349,54.0,24.726315789473684,0.883774,8.423388094813735,3.073
96,2363,14.0,24.614583333333332,0.883081,6.542076511042459,3.092
97,2391,28.0,24.649484536082475,0.881695,6.09053721172469,3.135
98,2406,15.0,24.551020408163264,0.8809525,5.049644875526428,3.157
99,2426,20.0,24.505050505050505,0.8799625,4.052412629127502,3.188
100,2441,15.0,24.41,0.87922,8.21140683889389,3.211
101,2458,17.0,24.4,0.8783785,7.417902336401098,3.236
102,2472,14.0,24.4,0.8776855,14.260624195848193,3.256
103,2502,30.0,24.53,0.8762005,13.609481461842854,3.298
104,2515,13.0,24.4,0.875557,18.912028074264526,3.316
105,2537,22.0,24.28,0.874468,10.224022019993175,3.347
106,2576,39.0,24.4,0.8725375,11.13903408478468,3.401
107,2644,68.0,24.48,0.8691715,13.777113583158044,3.495
108,2658,14.0,24.43,0.8684785,5.122209548950195,3.514
109,2681,23.0,24.5,0.86734,8.883746292280113,3.546
110,2700,19.0,24.5,0.8663995,14.044595310562535,3.571
111,2759,59.0,24.85,0.863479,14.793906260344942,3.654
112,2807,48.0,25.21,0.861103,12.884603954851627,3.724
113,2839,32.0,25.34,0.859519,15.580437280237675,3.769
114,2854,15.0,25.28,0.8587765,9.770429114500681,3.789
115,2945,91.0,26.05,0.854272,15.408976590240394,3.922
116,2956,11.0,26.03,0.8537275,15.082271023230119,3.943
117,2980,24.0,26.08,0.8525395,13.11103923122088,3.978
118,3004,24.0,26.06,0.8513515,22.801216175158817,4.011
