episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9902,nan,0,0.2,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.984,nan,0,0.3,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9789,nan,0,0.4,10.0,10.0,10.0,1.0
5,260,234,205.4,0.9727,nan,0,0.5,10.0,10.0,10.0,1.0
6,318,230,209.5,0.9665,nan,0,0.6,10.0,10.0,10.0,1.0
7,366,191,206.85714285714286,0.9615,nan,0,0.8,10.0,10.0,10.0,1.0
8,424,228,209.5,0.9554,nan,0,0.9,10.0,10.0,10.0,1.0
9,471,185,206.77777777777777,0.9504,nan,0,1.0,10.0,10.0,10.0,1.0
10,530,234,209.5,0.9442,nan,0,1.1,10.0,10.0,10.0,1.0
11,588,229,211.27272727272728,0.938,nan,0,1.2,10.0,10.0,10.0,1.0
12,646,229,212.75,0.9319,nan,0,1.3,10.0,10.0,10.0,1.0
13,692,182,210.3846153846154,0.9271,nan,0,1.4,10.0,10.0,10.0,1.0
14,750,229,211.71428571428572,0.9209,nan,0,1.5,10.0,10.0,10.0,1.0
15,796,183,209.8,0.9161,nan,0,1.6,10.0,10.0,10.0,1.0
16,843,185,208.25,0.9111,2.021734980019656,11,3.0,10.248283386230469,9.744553565979004,10.316922187805176,0.9943594336509705
17,902,232,209.64705882352942,0.9049,0.9530633742610614,26,4.7,10.465666770935059,9.627863883972168,10.698304176330566,0.9909942150115967
18,950,189,208.5,0.8998,1.6931909971560042,38,6.1,10.351635932922363,9.293389320373535,10.617117881774902,0.9880878329277039
19,1009,235,209.89473684210526,0.8936,0.5828027846912543,53,7.8,10.119017601013184,8.972700119018555,10.44339370727539,0.9809710383415222
20,1068,233,211.05,0.8874,2.1392677096029122,68,9.5,10.223111152648926,9.095076560974121,10.444887161254883,0.9816913604736328
21,1116,189,211.4,0.8823,1.7744588553905487,80,10.8,10.387384414672852,9.232013702392578,10.495223999023438,0.9843448996543884
22,1162,182,211.1,0.8775,2.2813349312002007,91,12.2,10.25847339630127,9.11660099029541,10.427947998046875,0.9804723858833313
23,1220,230,210.85,0.8713,2.037076163291931,106,14.1,10.558505058288574,9.50152587890625,10.768669128417969,0.9885528683662415
24,1267,185,210.7,0.8664,1.4883224070072174,117,15.4,10.75130558013916,9.71816635131836,11.038025856018066,0.9894588589668274
25,1326,232,210.6,0.8601,0.9863416967292626,132,17.1,10.853299140930176,9.75462532043457,11.291532516479492,0.9867348074913025
26,1373,184,208.3,0.8552,0.700043747065744,144,18.6,10.907499313354492,9.772744178771973,11.3667631149292,0.9867479205131531
27,1420,185,208.0,0.8502,1.0484918317912768,156,20.0,10.897815704345703,9.783980369567871,11.32780647277832,0.9844391345977783
28,1466,182,205.7,0.8454,4.139138947833668,167,21.4,10.618742942810059,9.52200984954834,11.075739860534668,0.9716899394989014
29,1512,183,205.6,0.8405,1.3348787526289623,179,22.9,10.12352180480957,9.099138259887695,10.650491714477539,0.9602368474006653
30,1558,182,203.0,0.8357,0.5263110798868266,190,24.3,9.8356294631958,8.965277671813965,10.447562217712402,0.9592478275299072
31,1616,231,203.1,0.8295,2.2823800685505073,205,26.2,9.713057518005371,9.033806800842285,10.420949935913086,0.9623000025749207
32,1712,380,210.65,0.8194,1.4711913792804505,229,29.1,9.644020080566406,9.129060745239258,10.453804016113281,0.9701249003410339
33,1760,190,211.05,0.8143,1.2159132625286777,241,30.6,9.820154190063477,9.350434303283691,10.55704402923584,0.9726241230964661
34,1807,185,208.85,0.8094,2.2734732302752407,252,32.1,10.071977615356445,9.620515823364258,10.732512474060059,0.9698209166526794
35,1868,242,211.8,0.8029,1.039070169441402,268,34.0,10.228815078735352,9.74633502960205,10.978431701660156,0.9748240113258362
36,1915,184,211.75,0.798,0.6391448080539703,279,35.4,10.275062561035156,9.745692253112793,11.073587417602539,0.9769572615623474
37,1961,182,209.25,0.7931,0.9205645976277689,291,37.0,10.28735065460205,9.744124412536621,11.074714660644531,0.9760346412658691
38,2009,189,209.25,0.788,2.698106120030085,303,38.6,10.150592803955078,9.625955581665039,10.914581298828125,0.9701252579689026
39,2067,229,208.95,0.7819,1.822565948324544,317,40.2,10.040862083435059,9.582743644714355,10.69916820526123,0.9694135785102844
40,2114,185,206.55,0.777,1.8637424893677235,329,41.7,10.1417818069458,9.67602825164795,10.738444328308105,0.9810788631439209
41,2161,185,206.35,0.772,2.758138289054235,341,43.4,10.03701400756836,9.553799629211426,10.633874893188477,0.9831029772758484
42,2207,182,206.35,0.7671,0.6850223124704578,352,44.8,9.881178855895996,9.404682159423828,10.482718467712402,0.985966145992279
43,2254,185,204.1,0.7622,0.460559642718484,364,46.3,9.89830493927002,9.357260704040527,10.304163932800293,0.9798173308372498
44,2301,186,204.15,0.7572,3.081651598215103,376,47.7,10.208329200744629,9.652934074401855,10.408219337463379,0.9744634628295898
45,2348,185,201.8,0.7523,1.1544195860624313,388,49.3,10.609541893005371,9.993828773498535,10.639847755432129,0.9849687218666077
46,2395,185,201.85,0.7473,2.519599551165646,399,50.7,10.724531173706055,9.923942565917969,10.640578269958496,0.9946742653846741
47,2454,234,204.3,0.7411,2.8724485715230306,414,52.6,10.534401893615723,9.65959358215332,10.423848152160645,0.9895095825195312
48,2502,189,204.65,0.736,1.6104016328851383,426,54.2,10.719850540161133,9.904056549072266,10.685294151306152,0.9915958046913147
