episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,88,11.0,11.0,1.0,0.4336971129689898,0.26930856704711914,7,"1.693040,1.692380","0.996646,0.993159,0.993179,0.993116",,
1,88,11.0,11.0,1.0,0.4336971129689898,0.26930856704711914,7,"1.693040,1.692380","0.996646,0.993159,0.993179,0.993116",,
2,94,12.0,11.333333333333334,0.9801,0.4346660450100899,0.3011963367462158,8,"1.788843,1.791742","0.996971,0.992187,0.992187,0.992108",,
3,101,13.0,11.75,0.970299,0.42403022117084926,0.34258031845092773,9,"1.885542,1.886374","0.997523,0.991198,0.991184,0.991105",,
4,204,14.0,12.2,0.96059601,0.42973558055727107,0.7164344787597656,19,"2.843266,2.847522","1.006070,0.981075,0.980841,0.981986",,
5,204,26.0,14.5,0.96059601,0.42973558055727107,0.7164344787597656,19,"2.843266,2.847522","1.006070,0.981075,0.980841,0.981986",,
6,210,13.0,14.285714285714286,0.941480149401,0.4338133379817009,0.7421259880065918,20,"2.940742,2.941494","1.007109,0.980017,0.979760,0.980992",,
7,233,18.0,14.75,0.9320653479069899,0.4416224035349759,0.8432204723358154,22,"3.131582,3.129136","1.009127,0.977920,0.977535,0.978963",,
8,280,36.0,17.11111111111111,0.9227446944279201,0.4509478807449341,1.0943512916564941,27,"3.598921,3.605204","1.013624,0.972621,0.972008,0.973660",,
9,311,13.0,16.7,0.9135172474836408,0.4633040875196457,1.264770269393921,30,"3.892248,3.882783","1.016633,0.969457,0.968607,0.970175",,
10,311,40.0,18.818181818181817,0.9135172474836408,0.4633040875196457,1.264770269393921,30,"3.892248,3.882783","1.016633,0.969457,0.968607,0.970175",,
11,311,12.0,18.25,0.9135172474836408,0.4633040875196457,1.264770269393921,30,"3.892248,3.882783","1.016633,0.969457,0.968607,0.970175",,
12,372,17.0,18.153846153846153,0.8863848717161292,0.47747185909085804,1.5253455638885498,36,"4.443068,4.436471","1.022303,0.962929,0.961621,0.963057",,
13,379,12.0,17.714285714285715,0.8775210229989678,0.47747185909085804,1.531808614730835,36,"4.443068,4.436471","1.022303,0.962929,0.961621,0.963057",,
14,418,27.0,18.333333333333332,0.8687458127689782,0.482202373445034,1.6853337287902832,40,"4.808917,4.799256","1.025928,0.958257,0.957063,0.958025",,
15,425,14.0,18.0625,0.8600583546412884,0.4830839125121512,1.7236144542694092,41,"4.898026,4.893301","1.027015,0.957112,0.955823,0.956829",,
16,425,14.0,17.823529411764707,0.8600583546412884,0.4830839125121512,1.7236144542694092,41,"4.898026,4.893301","1.027015,0.957112,0.955823,0.956829",,
17,439,16.0,17.72222222222222,0.8429431933839268,0.48293950798965635,1.7702150344848633,42,"4.987622,4.986753","1.028034,0.955940,0.954574,0.955644",,
18,454,46.0,19.210526315789473,0.8345137614500875,0.4915344830263745,1.8474478721618652,44,"5.164130,5.180980","1.030265,0.953565,0.951961,0.953276",,
19,493,15.0,19.0,0.8261686238355866,0.49522726486126584,2.0103416442871094,48,"5.537139,5.551415","1.034423,0.948561,0.947071,0.948179",,
20,508,11.0,18.61904761904762,0.8179069375972308,0.4991641762305279,2.05997371673584,49,"5.629521,5.638522","1.035349,0.947390,0.945909,0.946929",,
21,515,17.0,18.545454545454547,0.8097278682212584,0.5020409679412842,2.0998759269714355,50,"5.725724,5.723199","1.036276,0.946178,0.944775,0.945613",,
22,586,16.0,18.434782608695652,0.8016305895390459,0.5141452394033733,2.39666485786438,57,"6.346183,6.317049","1.043539,0.938982,0.936321,0.937368",,
23,617,15.0,18.291666666666668,0.7936142836436554,0.5189207077026368,2.5102765560150146,60,"6.605008,6.569284","1.046210,0.936162,0.932391,0.934189",,
24,617,24.0,18.52,0.7936142836436554,0.5189207077026368,2.5102765560150146,60,"6.605008,6.569284","1.046210,0.936162,0.932391,0.934189",,
25,639,25.0,18.76923076923077,0.7778213593991467,0.5298085453048829,2.5949058532714844,62,"6.782303,6.739839","1.048248,0.934373,0.929692,0.932028",,
26,646,16.0,18.666666666666668,0.7700431458051551,0.5308411613343254,2.6188313961029053,63,"6.867474,6.826711","1.049307,0.933632,0.928450,0.930884",,
27,646,28.0,19.0,0.7700431458051551,0.5308411613343254,2.6188313961029053,63,"6.867474,6.826711","1.049307,0.933632,0.928450,0.930884",,
28,732,95.0,21.620689655172413,0.7547192872036326,0.5373395950429969,3.0136308670043945,72,"7.670205,7.633528","1.056639,0.925323,0.916970,0.919589",,
29,732,10.0,21.233333333333334,0.7547192872036326,0.5373395950429969,3.0144119262695312,72,"7.670205,7.633528","1.056639,0.925323,0.916970,0.919589",,
30,738,29.0,21.483870967741936,0.7397003733882802,0.5373395950429969,3.0144119262695312,72,"7.670205,7.633528","1.056639,0.925323,0.916970,0.919589",,
31,745,13.0,21.21875,0.7323033696543975,0.5383885980468907,3.0529987812042236,73,"7.765471,7.717416","1.057221,0.924239,0.915781,0.918352",,
32,745,16.0,21.060606060606062,0.7323033696543975,0.5383885980468907,3.0529987812042236,73,"7.765471,7.717416","1.057221,0.924239,0.915781,0.918352",,
33,783,17.0,20.941176470588236,0.7177305325982749,0.5422934491138953,3.20884370803833,77,"8.128488,8.057497","1.059306,0.919919,0.911285,0.913204",,
34,798,27.0,21.114285714285714,0.7105532272722921,0.5447557442463361,3.261550188064575,78,"8.215365,8.142864","1.059898,0.918671,0.910100,0.911938",,
